LGA,WARD,name,type,ownership,code,lga,Type_2,ownership2,no,
SAGBAMA,ADAGBABIRI,HEALTH CENTRE ANIBEZE,Primary,PUBLIC,6,6,1,1,1,
,,HEALTH CENTRE ADAGBABIRI,Primary,PUBLIC,6,6,1,1,2,
,,HEALTH CENTRE TUNGBO,Primary,PUBLIC,6,6,1,1,3,
,,HEALTH CENTRE OSEKWENIKE,Primary,PUBLIC,6,6,1,1,4,
,,HEALTH CENTRE OSIFO,Primary,PUBLIC,6,6,1,1,5,
,AGBERE,HEALTH CENTRE AGBERE,Primary,PUBLIC,6,6,1,1,6,
,,COTT.HOSP.AGBERE,Secondary,PUBLIC,6,6,2,1,7,
,ANGALABIRI,HEALTH CENTRE ANGALABIRI,Primary,PUBLIC,6,6,1,1,8,
,,HEALTH CENTRE TURO-ORUA,Primary,PUBLIC,6,6,1,1,9,
,,HEALTH CENTRE BULOU-ORUA ,Primary,PUBLIC,6,6,1,1,10,
,EDEBEBIRI,HEALTH CENTRE EBEDEBIRI,Primary,PUBLIC,6,6,1,1,11,
,,HEALTH .C. TOLU-ANGIAMA ,Primary,PUBLIC,6,6,1,1,12,
,,COTT.HOSP.EBEDEBIRI,Secondary,PUBLIC,6,6,2,1,13,
,OSSIAMA,HEALTH .C. EGBEPULOUGBENE,Primary,PUBLIC,6,6,1,1,14,
,,HEALTH CENTRE ISONI,Primary,PUBLIC,6,6,1,1,15,
,ASAMABIRI,HEALTH CENTRE ELEMEBIRI,Primary,PUBLIC,6,6,1,1,16,
,,HEALTH CENTRE ASAMABIRI,Primary,PUBLIC,6,6,1,1,17,
,ODONI,HEALTH CENTRE ODONI,Primary,PUBLIC,6,6,1,1,18,
,TROFANI,HEALTH CENTRE TROFANI,Primary,PUBLIC,6,6,1,1,19,
,SAGBAMA,HEALTH CENTRE SAGBAMA,Primary,PUBLIC,6,6,1,1,20,
,,GEN.HOSP.SAGBAMA,Secondary,PUBLIC,6,6,2,1,21,
,,HEALTH CENTRE AGHORO,Primary,PUBLIC,6,6,1,1,22,
,,HEALTH CENTRE OGOGIRI,Primary,PUBLIC,6,6,1,1,23,
,,HEALTH CENTRE AGOROGBENE,Primary,PUBLIC,6,6,1,1,24,
,TORU-EBENI,HEALTH CENTRE ERIAMA,Primary,PUBLIC,6,6,1,1,25,
,,HEALTH CENTRE AKEDDEI,Primary,PUBLIC,6,6,1,1,26,
,,HEALTH CENTRE TORU-EBENI,Primary,PUBLIC,6,6,1,1,27,
SOUTHERN IJAW,OPOROMA I,HEALTH CENTRE OPOROMA,Primary,PUBLIC,6,7,1,1,1,
,,HEALTH CENTRE AGUOBIRI,Primary,PUBLIC,6,7,1,1,2,
,,HEALTH CENTRE OZEZIBIRI,Primary,PUBLIC,6,7,1,1,3,
,OPOROMA II,HEALTH CENTRE ANGIAMA,Primary,PUBLIC,6,7,1,1,4,
,OLODIAMA I,HEALTH CENTRE IKEBIRI,Primary,PUBLIC,6,7,1,1,5,
,,HEALTH CENTRE KOROKOROSEI,Primary,PUBLIC,6,7,1,1,6,
,,HEALTH CENTRE ONDEWARI,Primary,PUBLIC,6,7,1,1,7,
,,HEALTH CENTRE UMBUGBENE,Primary,PUBLIC,6,7,1,1,8,
,,COTT.HOSP.IKIBIRI,Secondary,PUBLIC,6,7,2,1,9,
,,COTT.HOSP.KOROKOROSEI,Secondary,PUBLIC,6,7,2,1,10,
,OLODIAMA II,HEALTH CENTRE OLUGBOBIRI,Primary,PUBLIC,6,7,1,1,11,
,,HEALTH CENTRE TEBIDABA,Primary,PUBLIC,6,7,1,1,12,
,,HEALTH .C.  IKIENGHENBIRI,Primary,PUBLIC,6,7,1,1,13,
,OTUAN,HEALTH CENTRE OTUAN ,Primary,PUBLIC,6,7,1,1,14,
,WEST BOMA,HEALTH .C. IGBOMOTORU I,Primary,PUBLIC,6,7,1,1,15,
,,HEALTH .C. IGBOMOTORU II,Primary,PUBLIC,6,7,1,1,16,
,,HEALTH CENTRE BABEREGBENE,Primary,PUBLIC,6,7,1,1,17,
,CENTRAL BOMA I,HEALTH CENTRE EKOWE ,Primary,PUBLIC,6,7,1,1,18,
,CENTRAL BOMA II,HEALTH CENTRE PEREMABIRI,Primary,PUBLIC,6,7,1,1,19,
,,HEALTH CENTRE DIEBU,Primary,PUBLIC,6,7,1,1,20,
,,COTT.HOSP. PEREMABIRI,Secondary,PUBLIC,6,7,2,1,21,
,AMASSOMA I,HEALTH CENTRE AMASSOMA,Primary,PUBLIC,6,7,1,1,22,
,AMASSOMA,GEN. HOSP. AMASSOMA,Secondary,PUBLIC,6,7,2,1,23,
,EAST BOMA II,HEALTH CENTRE OPUAMA,Primary,PUBLIC,6,7,1,1,24,
,,HEALTH CENTRE AYAMA,Primary,PUBLIC,6,7,1,1,25,
,,HEALTH .C. FIEREBAGBENE,Primary,PUBLIC,6,7,1,1,26,
,,HEALTH CENTRE OKIGBENE ,Primary,PUBLIC,6,7,1,1,27,
,,HEALTH CENTRE IPIRIGBENE,Primary,PUBLIC,6,7,1,1,28,
,,HEALTH .C. FIEREBAGBENE,Primary,PUBLIC,6,7,1,1,29,
,FOROPA,HEALTH CENTRE FOROPA ,Primary,PUBLIC,6,7,1,1,30,
,APOI,HEALTH CENTRE   APOI,Primary,PUBLIC,6,7,1,1,31,
,,HEALTH CENTRE GBARAIN,Primary,PUBLIC,6,7,1,1,32,
,,HEALTH CENTRE AZAMA,Primary,PUBLIC,6,7,1,1,33,
,,HEALTH CENTRE OGBOINBIRI,Primary,PUBLIC,6,7,1,1,34,
,,HEALTH CENTRE KEMEBIAMA,Primary,PUBLIC,6,7,1,1,35,
,,COTT.HOSP.OGBOINBIRI,Secondary,PUBLIC,6,7,2,1,36,
,UKUBIE,HEALTH CENTRE UKUBIE,Primary,PUBLIC,6,7,1,1,37,
,,HEALTH CENTRE LOBIA I,Primary,PUBLIC,6,7,1,1,38,
,,HEALTH CENTRE LOBIA II,Primary,PUBLIC,6,7,1,1,39,
,,HEALTH CENTRE AZUZUAMA,Primary,PUBLIC,6,7,1,1,40,
,,COTT.HOSP.LOBIA,Secondary,PUBLIC,6,7,2,1,41,
,,COTT.HOSP. UKUBIE,Secondary,PUBLIC,6,7,2,1,42,
,KOLUAMA,HEALTH CENTRE KOLUAMA I,Primary,PUBLIC,6,7,1,1,43,
,,HEALTH CENTRE KOLUAMA II,Primary,PUBLIC,6,7,1,1,44,
YENAGOA,ATISSA I,HEALTH CENTRE YENAGOA,Primary,PUBLIC,6,8,1,1,1,
,,HEALTH CENTRE SWALI,Primary,PUBLIC,6,8,1,1,2,
,,HEALTH CENTRE YENAKA,Primary,PUBLIC,6,8,1,1,3,
,,ALFA CLINIC OVOM,Secondary,PRIVATE,6,8,2,2,4,
,,MAGCOL CLINIC OVOM,Secondary,PRIVATE,6,8,2,2,5,
,,ST.PETER’S HOSP.ONOPA,Secondary,PRIVATE,6,8,2,2,6,
,,BOSEK HOSP.YENAGOA,Secondary,PRIVATE,6,8,2,2,7,
,,GLORYLAND DIA.MED.OVOM,Secondary,PRIVATE,6,8,2,2,8,
,,ST.JOHN CLINIC YENAGOA,Secondary,PRIVATE,6,8,2,2,9,
,,FEDERAL MED CENTRE,Tertiary,PUBLIC ,6,8,3,1,10,
,ATISSA II,HEALTH CENTRE AGBURA,Primary,PUBLIC,6,8,1,1,11,
,,HEALTH CENTRE OBOGORO,Primary,PUBLIC,6,8,1,1,12,
,,HEALTH CENTRE FAMGBE,Primary,PUBLIC,6,8,1,1,13,
,,HEALTH CENTRE OGU,Primary,PUBLIC,6,8,1,1,14,
,EPIE I,HEALTH CENTRE IGBOGENE,Primary,PUBLIC,6,8,1,1,15,
,,HEALTH CENTRE AGUDAMA-EPIE,Primary,PUBLIC,6,8,1,1,16,
,,HEALTH CENTRE OKUTUKUTU,Primary,PUBLIC,6,8,1,1,17,
,,TBL HOSP.IGBOGENE,Secondary,PUBLIC,6,8,2,1,18,
,,GEN.HOSP.AGUDAMA-EKPET.,Secondary,PUBLIC,6,8,2,1,19,
,,TOBIS’ CLINIC AGUDAMA-EPIE,Secondary,PRIVATE,6,8,2,2,20,
,EPIE II,HEALTH CENTRE AMARATA,Primary,PUBLIC,6,8,1,1,21,
,,HEALTH CENTRE KPANSIA ,Primary,PUBLIC,6,8,1,1,22,
,,HEALTH CENTRE YENEZUE-GENE,Primary,PUBLIC,6,8,1,1,23,
,,HEALTH CENTRE OPOLO,Primary,PUBLIC,6,8,1,1,24,
,,HEALTH CENTRE AZIKORO,Primary,PUBLIC,6,8,1,1,25,
,,UCHENNA HOSP.AMARATA,Secondary,PRIVATE,6,8,2,2,26,
,,BOMO CLINIC /MAT. AMARATA,Secondary,PRIVATE,6,8,2,2,27,
,,ATISCO CLINIC AMARATA,Secondary,PRIVATE,6,8,2,2,28,
,,PALEN CLINIC/MAT.AMARATA,Secondary,PRIVATE,6,8,2,2,29,
,,KURO SPEC. CLINIC EKEKI,Secondary,PRIVATE,6,8,2,2,30,
,,MAY DEN. &. MAX. KPANSIA,Secondary,PRIVATE,6,8,2,2,31,
,,CREST CON.CLINIC KPANSIA,Secondary,PRIVATE,6,8,2,2,32,
,,BELIEVERS’S FAITH. C.AMARATA,Secondary,PRIVATE,6,8,2,2,33,
,,EVERLY M.C. YENEZUE-GENE,Secondary,PRIVATE,6,8,2,2,34,
,,FAVOUR M.C. YENEZUE-GENE,Secondary,PRIVATE,6,8,2,2,35,
,,GILEAD MEDICAL .C. OPOLO,Secondary,PRIVATE,6,8,2,2,36,
,,RAPHAL CLINIC YENEZUE-GENE,Secondary,PRIVATE,6,8,2,2,37,
,,THE BAY CLINIC AMARATA,Secondary,PRIVATE,6,8,2,2,38,
,,MIEYE CLINIC OVOM,Secondary,PRIVATE,6,8,2,2,39,
,GBARAIN I,HEALTH CENTRE OGBOLOMA ,Primary,PUBLIC,6,8,1,1,40,
,,HEALTH CENTRE NEDUGO-AGBIA,Primary,PUBLIC,6,8,1,1,41,
,GBARAIN II,HEALTH CENTRE OKOTIAMA,Primary,PUBLIC,6,8,1,1,42,
,,HEALTH CENTRE OKOLOBIRI,Primary,PUBLIC,6,8,1,1,43,
,,GEN.HOSP.OKOLOBORI,Secondary,PUBLIC,6,8,2,1,44,
,,DEVINE GRACE. C.OKOLOBIRI,Secondary,PRIVATE,6,8,2,2,45,
,GBARAIN III,HEALTH CENTRE POLAKU,Primary,PUBLIC,6,8,1,1,46,
,EKPETIAMA I,HEALTH CENTREBUMOUNDI ,Primary,PUBLIC,6,8,1,1,47,
,EKPETIAMA II,HEALTH CENTRE GBARANTORU,Primary,PUBLIC,6,8,1,1,48,
,,HEALTH CENTRE TOMBIA,Primary,PUBLIC,6,8,1,1,49,
,BISENI,HEALTH CENTRE BISENI,Primary,PUBLIC,6,8,1,1,50,
,,HEALTH CENTRE AGBOBIRI,Primary,PUBLIC,6,8,1,1,51,
,,HEALTH CENTRE TEIN,Primary,PUBLIC,6,8,1,1,52,
,,HEALTH CENTRE AKUMONI,Primary,PUBLIC,6,8,1,1,53,
,,COTT.HOSP.BISENI,Secondary,PUBLIC,6,8,2,1,54,
,OKORDIA,HEALTH CENTRE OKORDIA,Primary,PUBLIC,6,8,1,1,55,
,ZARAMA,HEALTH CENTRE ZARAMA,Primary,PUBLIC,6,8,1,1,56,
,OVOM,CIVIL SERVANT'S CLINIC,Primary,PUBLIC,6,8,1,1,57,
,,GOVERNMENT HOUSE CLINIC,Primary,PUBLIC,6,8,1,1,58,
,,FSP CLINIC (Family Support Programme),Primary,PUBLIC,6,8,1,1,59,
,IKEBIRI,GEN. HOSP. IKEBIRI,Secondary,PUBLIC,6,8,2,1,60,
,OPOLO,DIETE-KOKI MEMORIAL HOSPITAL,Secondary,PUBLIC,6,8,2,1,61,
,,,,,,,,,,
SUMMARY,,,,,,,,,,
LGA,PRIMARY,,SECONDARY,,TERTIARY,,TOTAL,,,
,PUBLIC,PRIVATE,PUBLIC,PRIVATE,PUBLIC,PRIVATE,,,,
BRASS,11,0,4,0,0,0,15,,,
EKEREMOR,17,0,5,0,0,0,22,,,
KOLOKUMA/OPOKUMA,7,0,5,0,0,0,12,,,
NEMBE,20,0,3,0,0,0,23,,,
OGBIA,24,0,4,0,0,0,28,,,
SAGBAMA,24,0,3,0,0,0,27,,,
SOUTHERN IJAW,37,0,7,0,0,0,44,,,
YENOGOA,32,0,6,22,1,0,61,,,
,172,0,37,22,1,0,232,,,
,172,,59,,1,,,,,
"From the summary table above, there are a total of 232 health facilities across 8 LGAs in Bayelsa State. Of this number, 75% (172) are  Primary Health Care facilities,",,,,,,,,,,
 59 are Secondary Health Care facilities and only one is a tertiary health care facility.,,,,,,,,,,
"All the 172 PHC facilities  are public owned.  At the Secondary Health Care level, 63% (37) of the 59 facilities are public owned while 22 facilities (37%)  are privately owned.",,,,,,,,,,
The only tertiary health facility in the State is public owned.,,,,,,,,,,
,,,,,,,,,,
BENUE STATE,,,,,,,,,,
HEALTH FACILITY LISTING,,,,,,,,,,
LGA,WARD,NAME OF HEALTH FACILITY,FACILITY TYPE ,OWNERSHIP (PUBLIC/ PRIVATE),CODE,,,,,
,,,,,STAE,LGA,FACILITY TYPE,OWNERSHIP,FACILITY NO.,
ADO,Agila,Primary health clinic Agila,PRIMARY,PUBLIC,7,1,1,1,1,
,,Health clinic aganacha,PRIMARY,PUBLIC,7,1,1,1,2,
,Apa,Health clinic Apa,PRIMARY,PUBLIC,7,1,1,1,3,
,,Health clinic Ivetse,PRIMARY,PUBLIC,7,1,1,1,4,
,,H. post new Agila,PRIMARY,PUBLIC,7,1,1,1,5,
,,H. post Okpobia,PRIMARY,PUBLIC,7,1,1,1,6,
,,H. post Ogebe,PRIMARY,PUBLIC,7,1,1,1,7,
,Ekile,PHC Ekile,PRIMARY,PUBLIC,7,1,1,1,8,
,Etenyi,Hospital Etenyi,SECONDARY,PUBLIC,7,1,2,1,9,
,,PHClinic Etenyi,PRIMARY,PUBLIC,7,1,1,1,10,
,,Health Clinic Etenyi,PRIMARY,PUBLIC,7,1,1,1,11,
,Igumale,CHC Igumale,PRIMARY,PUBLIC,7,1,1,1,12,
,Ijigbam,Primary health clinic Ijigbam,PRIMARY,PUBLIC,7,1,1,1,13,
,,H. Post Nwedoga,PRIMARY,PUBLIC,7,1,1,1,14,
,,H.Post Owuebor,PRIMARY,PUBLIC,7,1,1,1,15,
,Ogege,H.Clinic Udeborijo,PRIMARY,PUBLIC,7,1,1,1,16,
,,H.Post Ogi,PRIMARY,PUBLIC,7,1,1,1,17,
,,H.Post Ipomolopko,PRIMARY,PUBLIC,7,1,1,1,18,
,,H.Post Watuolo centre,PRIMARY,PUBLIC,7,1,1,1,19,
,,H.Post Olukpo Watuolo,PRIMARY,PUBLIC,7,1,1,1,20,
,,H.Post Ikara,PRIMARY,PUBLIC,7,1,1,1,21,
,Royongo,H.Clinic Udeboojenyo,PRIMARY,PUBLIC,7,1,1,1,22,
,,H.Post Ojenyo centre,PRIMARY,PUBLIC,7,1,1,1,23,
,,H.Post Adochi,PRIMARY,PUBLIC,7,1,1,1,24,
,,H.Post Ujor,PRIMARY,PUBLIC,7,1,1,1,25,
,,H.Post Unenyi Igba,PRIMARY,PUBLIC,7,1,1,1,26,
,,H.Post Udebo Igba,PRIMARY,PUBLIC,7,1,1,1,27,
,Ukwonyo,Comp. H. Centre,PRIMARY,PUBLIC,7,1,1,1,28,
,,H.Post Ojije,PRIMARY,PUBLIC,7,1,1,1,29,
,,H.Clinic Iguve,PRIMARY,PRIVATE,7,1,1,2,30,
,Ukayi,PHC clinic Ukayi,PRIMARY,PUBLIC,7,1,1,1,31,
,,H.Post inikiri,PRIMARY,PUBLIC,7,1,1,1,32,
APA,Ugbokpo,Gen. Hosp. Ugbokpo,SECONDARY,PUBLIC,7,2,2,1,1,
,,Oggeje Mat. Clinic Ugbokpo,PRIMARY,PRIVATE,7,2,1,2,2,
,Ojantele,CHC Ojantele,PRIMARY,PRIVATE,7,2,1,2,3,
,,PHC Ataganyi,PRIMARY,PUBLIC,7,2,1,1,4,
,,PHC Akpete,PRIMARY,PUBLIC,7,2,1,1,5,
,Ikobi,PHC Ikobi,PRIMARY,PUBLIC,7,2,1,1,6,
,,PHC Imana-Ikobi,PRIMARY,PUBLIC,7,2,1,1,7,
,,PHC Oloke - Ikobi,PRIMARY,PUBLIC,7,2,1,1,8,
,,PHC Ugbobi,PRIMARY,PUBLIC,7,2,1,1,9,
,Edikwu II,PHC Udugbo,PRIMARY,PUBLIC,7,2,1,1,10,
,,PHC Olekele,PRIMARY,PUBLIC,7,2,1,1,11,
,,PHC Obinda,PRIMARY,PUBLIC,7,2,1,1,12,
,,CHC Opaha,PRIMARY,PUBLIC,7,2,1,1,13,
,Edikwu  I,PHC Ijaha-Edikwu,PRIMARY,PUBLIC,7,2,1,1,14,
,,PHC Ukpogo,PRIMARY,PUBLIC,7,2,1,1,15,
,,PHC Ankpali,PRIMARY,PUBLIC,7,2,1,1,16,
,,PHC Edikwu-Icho,PRIMARY,PUBLIC,7,2,1,1,17,
,,PHC Oladoga,PRIMARY,PUBLIC,7,2,1,1,18,
,Oiji,PHC Oiji,PRIMARY,PUBLIC,7,2,1,1,19,
,,PHC Idada,PRIMARY,PUBLIC,7,2,1,1,20,
,Igah,PHC Igah-Okpaya,PRIMARY,PUBLIC,7,2,1,1,21,
,,PHC Ochekele,PRIMARY,PUBLIC,7,2,1,1,22,
,Auke,PHC Auke-Igeri,PRIMARY,PUBLIC,7,2,1,1,23,
,,PHC Auke-Ibado,PRIMARY,PUBLIC,7,2,1,1,24,
,,PHC Ogede,PRIMARY,PUBLIC,7,2,1,1,25,
,,PHC Alifeti,PRIMARY,PUBLIC,7,2,1,1,26,
,Ojantele,PHC Ojantele,PRIMARY,PUBLIC,7,2,1,1,27,
AGATU,Obagaji,CHC Obagaji,PRIMARY,PUBLIC,7,3,1,1,1,
,,PHC Ologba,PRIMARY,PUBLIC,7,3,1,1,2,
,,Oishoma Mem. Hosp. Obagaji,PRIMARY,PRIVATE,7,3,1,2,3,
,,PHC Obagaji,PRIMARY,PUBLIC,7,3,1,1,4,
,,PHC Alokpa,PRIMARY,PUBLIC,7,3,1,1,5,
,Ogbaulu,PHC Ogbaulu,PRIMARY,PUBLIC,7,3,1,1,6,
,,PHC Olegabulu,PRIMARY,PUBLIC,7,3,1,1,7,
,Odugbeho,PHC Odugbeho,PRIMARY,PUBLIC,7,3,1,1,8,
,,PHC Ogboju,PRIMARY,PUBLIC,7,3,1,1,9,
,,PHC Odejo,PRIMARY,PUBLIC,7,3,1,1,10,
,Okokolo,PHC Okokolo,PRIMARY,PUBLIC,7,3,1,1,11,
,,PHC Ocholonya,PRIMARY,PUBLIC,7,3,1,1,12,
,,PHC Akawu,PRIMARY,PUBLIC,7,3,1,1,13,
,Egba,PHC Aila,PRIMARY,PUBLIC,7,3,1,1,14,
,,PHC Abugbe,PRIMARY,PUBLIC,7,3,1,1,15,
,,PHC Adana,PRIMARY,PUBLIC,7,3,1,1,16,
,,PHC Inminyi,PRIMARY,PUBLIC,7,3,1,1,17,
,,PHC Adagbo,PRIMARY,PUBLIC,7,3,1,1,18,
,,PHC Edeje,PRIMARY,PUBLIC,7,3,1,1,19,
,,PHC Egba,PRIMARY,PUBLIC,7,3,1,1,20,
,,St. Bridget Mat. Cent. Aila,PRIMARY,PRIVATE,7,3,1,2,21,
,Oshigbudu,PHC Oshigbudu,PRIMARY,PUBLIC,7,3,1,1,22,
,,PHC Ayele,PRIMARY,PUBLIC,7,3,1,1,23,
,,PHC Atakpa,PRIMARY,PUBLIC,7,3,1,1,24,
,,PHC Enogaje,PRIMARY,PUBLIC,7,3,1,1,25,
,Enugba,PHC Enugba,PRIMARY,PUBLIC,7,3,1,1,26,
,,PHC Ogbangede,PRIMARY,PUBLIC,7,3,1,1,27,
,,PHC Ichogolugwu,PRIMARY,PUBLIC,7,3,1,1,28,
,,PHC Ello,PRIMARY,PUBLIC,7,3,1,1,29,
,Usha,PHC Usha,PRIMARY,PUBLIC,7,3,1,1,30,
,,PHC Oweto,PRIMARY,PUBLIC,7,3,1,1,31,
,Ogwule Kaduna,PHC Ogwule-Kaduna,PRIMARY,PUBLIC,7,3,1,1,32,
,,PHC Ogwuma,PRIMARY,PUBLIC,7,3,1,1,33,
,,PHC Ogwumogbo,PRIMARY,PUBLIC,7,3,1,1,34,
,,PHC Ekwo/Okpanchenyi,PRIMARY,PUBLIC,7,3,1,1,35,
,,PHC Ogwule Adakpa,PRIMARY,PUBLIC,7,3,1,1,36,
,,PHC Olegodege,PRIMARY,PUBLIC,7,3,1,1,37,
,,PHC Ikpele,PRIMARY,PUBLIC,7,3,1,1,38,
,,PHC Olegentonu,PRIMARY,PUBLIC,7,3,1,1,39,
,,PHC Engila,PRIMARY,PUBLIC,7,3,1,1,40,
,,PHC Ogam,PRIMARY,PUBLIC,7,3,1,1,41,
,,PHC Adanu Mem,PRIMARY,PRIVATE,7,3,1,2,42,
,,PHC Faith Clinic,PRIMARY,PRIVATE,7,3,1,2,43,
,Ogwule Ogbaulu,PHC Ogwule Ogbaulu,PRIMARY,PUBLIC,7,3,1,1,44,
,,PHC Okpagabi,PRIMARY,PUBLIC,7,3,1,1,45,
,,PHC Ibado,PRIMARY,PUBLIC,7,3,1,1,46,
,,PHC Ogwule Ankpa,PRIMARY,PUBLIC,7,3,1,1,47,
,,PHC Ajomachi,PRIMARY,PUBLIC,7,3,1,1,48,
,,PHC Akele,PRIMARY,PUBLIC,7,3,1,1,49,
,,PHC Okpokpolo,PRIMARY,PUBLIC,7,3,1,1,50,
,,PHC Warri,PRIMARY,PUBLIC,7,3,1,1,51,
BURUKU,Mbaatyukyar,PHC Jingir,PRIMARY,PUBLIC,7,4,1,1,1,
,,PHC Awuapila,PRIMARY,PUBLIC,7,4,1,1,2,
,Mbaatyough,PHC Apaa,PRIMARY,PUBLIC,7,4,1,1,3,
,Mbakyongo,PHC Uga,PRIMARY,PUBLIC,7,4,1,1,4,
,,Mbayer CHC Ankyunya,PRIMARY,PUBLIC,7,4,1,1,5,
,,NKST Clinic Amile,PRIMARY,PRIVATE,7,4,1,2,6,
,Mbaityough,Mbatser CHC Dzua,PRIMARY,PUBLIC,7,4,1,1,7,
,,Mbagen CHC Ashibi,PRIMARY,PUBLIC,7,4,1,1,8,
,Binev,PHC Dogo,PRIMARY,PUBLIC,7,4,1,1,9,
,,PHC Mbashian,PRIMARY,PUBLIC,7,4,1,1,10,
,,PHC Agwabi,PRIMARY,PUBLIC,7,4,1,1,11,
,,Yoosu Clinin Mbasian,PRIMARY,PRIVATE,7,4,1,2,12,
,,NKST Clinic Sev-av,PRIMARY,PRIVATE,7,4,1,2,13,
,Mbaapen,PHC Bururku,PRIMARY,PUBLIC,7,4,1,1,14,
,,PHC Gbajar,PRIMARY,PUBLIC,7,4,1,1,15,
,,PHC Sese,PRIMARY,PUBLIC,7,4,1,1,16,
,,PHC Ijer,PRIMARY,PUBLIC,7,4,1,1,17,
,,PHC Vaaka,PRIMARY,PUBLIC,7,4,1,1,18,
,,PHC Kur,PRIMARY,PUBLIC,7,4,1,1,19,
,,Bururku Clinic Bururku,PRIMARY,PRIVATE,7,4,1,2,20,
,,Kua Usen Clinic Buruku,PRIMARY,PRIVATE,7,4,1,2,21,
,,Alfa Clinic Tyogbenda,PRIMARY,PRIVATE,7,4,1,2,22,
,,NKST Clinic Uatsor,PRIMARY,PRIVATE,7,4,1,2,23,
,Mbayaka,PHC Tomanyiin,PRIMARY,PUBLIC,7,4,1,1,24,
,,PHC Adogo,PRIMARY,PUBLIC,7,4,1,1,25,
,,PHC Usen,PRIMARY,PUBLIC,7,4,1,1,26,
,,PHC Bar,PRIMARY,PUBLIC,7,4,1,1,27,
,,NKST Clinic Biliji,PRIMARY,PRIVATE,7,4,1,2,28,
,,CHC Tooanyiin,PRIMARY,PUBLIC,7,4,1,1,29,
,,CHC Ortese,PRIMARY,PUBLIC,7,4,1,1,30,
,Shorov,PHC Tyowanye,PRIMARY,PUBLIC,7,4,1,1,31,
,,PHC Torkwembe,PRIMARY,PRIVATE,7,4,1,2,32,
,,Mercy Clinic Tyowanye,PRIMARY,PRIVATE,7,4,1,2,33,
,,Social Cli/Mat Tyowanye,PRIMARY,PRIVATE,7,4,1,2,34,
,Mbyakaan,PHC Anvambe,PRIMARY,PUBLIC,7,4,1,1,35,
,,PHC Mbanzegh,PRIMARY,PUBLIC,7,4,1,1,36,
,,St. Paul H.Centre Ashamina,PRIMARY,PRIVATE,7,4,1,2,37,
,,CHC Mbagushima,PRIMARY,PRIVATE,7,4,1,2,38,
,Mbaade,PHC Tofi,PRIMARY,PUBLIC,7,4,1,1,39,
,Mbaazaage,PHC Ajohol,PRIMARY,PUBLIC,7,4,1,1,40,
,,PHC Anongol,PRIMARY,PUBLIC,7,4,1,1,41,
,Mbaaakura,PHC Ugbema,PRIMARY,PUBLIC,7,4,1,1,42,
,,MCH Abwa,PRIMARY,PUBLIC,7,4,1,1,43,
,Etulo,CHC Adi,PRIMARY,PUBLIC,7,4,1,1,44,
,,Hpost Otsafu,PRIMARY,PUBLIC,7,4,1,1,45,
,,Hclinic  Abakwa,PRIMARY,PUBLIC,7,4,1,1,46,
GBOKO,Gboko N/West,Gen.Hosp.Gboko,SECONDARY,PUBLIC,7,5,2,1,1,
,,TBT Hospital,SECONDARY,PRIVATE,7,5,2,2,2,
,,Sefa Clinic Gboko,PRIMARY,PRIVATE,7,5,1,2,3,
,,Awa Clinic Gboko,PRIMARY,PRIVATE,7,5,1,2,4,
,,Foma Clinic Gboko,PRIMARY,PRIVATE,7,5,1,2,5,
,,Penuel Hosp. Gboko,SECONDARY,PRIVATE,7,5,2,2,6,
,,Joy M& Nur Home,PRIMARY,PRIVATE,7,5,1,2,7,
,,Baki C& MatGboko,SECONDARY,PRIVATE,7,5,2,2,8,
,,Victory Hosp.Gboko,SECONDARY,PRIVATE,7,5,2,2,9,
,,Fanen Clinic Gboko,PRIMARY,PRIVATE,7,5,1,2,10,
,,Fater Clinic Gboko,PRIMARY,PRIVATE,7,5,1,2,11,
,,Yima Clinic,PRIMARY,PRIVATE,7,5,1,2,12,
,,Progress Cli Gboko,PRIMARY,PRIVATE,7,5,1,2,13,
,,Erdoo Cli Gboko,PRIMARY,PRIVATE,7,5,1,2,14,
,,Tiwani Hosp Gboko,SECONDARY,PRIVATE,7,5,2,2,15,
,,Myom Hosp. Gboko,SECONDARY,PRIVATE,7,5,2,2,16,
,,Central Hosp Gboko,SECONDARY,PRIVATE,7,5,2,2,17,
,,PHCC Gboko,PRIMARY,PUBLIC,7,5,1,1,18,
,,Township Cli Gboko ,PRIMARY,PUBLIC,7,5,1,1,19,
,,Fidei Polytech Gbok,PRIMARY,PRIVATE,7,5,1,2,20,
,Gboko South,FGGC Gboko,PRIMARY,PUBLIC,7,5,1,1,21,
,,Sakom Clin Gboko,PRIMARY,PRIVATE,7,5,1,2,22,
,,Seta Hosp.Gboko,PRIMARY,PRIVATE,7,5,1,2,23,
,,Gboko South PHC,PRIMARY,PUBLIC,7,5,1,1,24,
,,Royal Hosp. Gboko,PRIMARY,PRIVATE,7,5,1,2,25,
,,Messiah C/Mat Gbo,PRIMARY,PRIVATE,7,5,1,2,26,
,,Progress Hosp Gbo,SECONDARY,PRIVATE,7,5,2,2,27,
,,Holydove Hosp Gbo,SECONDARY,PRIVATE,7,5,2,2,28,
,,Havanna Hosp Gbo,SECONDARY,PRIVATE,7,5,2,2,29,
,,Ropheka Clinic Gbo,PRIMARY,PRIVATE,7,5,1,2,30,
,Gboko East,Sayco Hosp Gboko,SECONDARY,PRIVATE,7,5,2,2,31,
